school_id,region,division,language,n_test_takers,english_mps,filipino_mps,numeracy_mps,mother_tongue_mps,overall_mps
100447,Region I,Candon City,Ilokano/Iloko,12,68.14814814814815,65.92592592592594,64.16666666666667,75.74074074074075,69.19354838709677
100444,Region I,Candon City,Ilokano/Iloko,13,68.37606837606837,68.03418803418805,33.84615384615385,57.94871794871795,60.7940446650124
100448,Region I,Candon City,Ilokano/Iloko,28,63.333333333333336,62.22222222222222,34.464285714285715,62.142857142857146,58.94009216589862
100434,Region I,Candon City,Ilokano/Iloko,64,56.5625,61.25,37.109375,57.22222222222222,55.604838709677416
100439,Region I,Candon City,Ilokano/Iloko,18,55.92592592592593,57.160493827160494,38.611111111111114,61.111111111111114,55.55555555555556
100452,Region I,Candon City,Ilokano/Iloko,31,51.18279569892473,58.70967741935484,30.806451612903224,57.99283154121864,52.71592091571279
100428,Region I,Candon City,Ilokano/Iloko,48,49.537037037037045,55.64814814814815,32.916666666666664,56.111111111111114,51.075268817204304
100450,Region I,Candon City,Ilokano/Iloko,28,49.44444444444444,56.82539682539683,31.071428571428573,55.7936507936508,51.05990783410138
100443,Region I,Candon City,Ilokano/Iloko,10,54.44444444444444,50.44444444444444,27.0,57.111111111111114,50.516129032258064
100431,Region I,Candon City,Ilokano/Iloko,37,46.186186186186184,50.03003003003003,33.24324324324324,56.51651651651652,48.63121185701831
100429,Region I,Candon City,Ilokano/Iloko,10,46.44444444444444,48.22222222222222,32.0,57.55555555555556,48.322580645161295
100442,Region I,Candon City,Ilokano/Iloko,25,41.422222222222224,55.46666666666667,27.0,55.2,47.63870967741936
100451,Region I,Candon City,Ilokano/Iloko,28,44.36507936507937,53.888888888888886,32.32142857142857,51.111111111111114,47.534562211981566
100430,Region I,Candon City,Ilokano/Iloko,32,46.80555555555556,52.708333333333336,29.53125,50.208333333333336,47.278225806451616
100435,Region I,Candon City,Ilokano/Iloko,52,48.03418803418804,48.76068376068377,30.673076923076923,50.38461538461539,46.68734491315136
100436,Region I,Candon City,Ilokano/Iloko,119,51.67133520074697,50.10270774976657,28.23529411764706,45.079365079365076,46.27812415288697
100440,Region I,Candon City,Ilokano/Iloko,52,45.98290598290599,47.73504273504273,30.769230769230777,50.299145299145295,45.78163771712159
100449,Region I,Candon City,Ilokano/Iloko,45,45.23456790123456,42.81481481481481,23.666666666666664,51.35802469135802,43.52688172043011
100445,Region I,Candon City,Ilokano/Iloko,53,40.16771488469602,45.9958071278826,27.735849056603776,47.12788259958071,42.276323797930615
100433,Region I,Candon City,Ilokano/Iloko,24,45.64814814814815,48.333333333333336,24.583333333333336,40.370370370370374,42.17741935483871
100427,Region I,Candon City,Ilokano/Iloko,25,40.17777777777777,44.355555555555554,25.4,42.93333333333333,40.28387096774193
100425,Region I,Candon City,Ilokano/Iloko,18,43.08641975308642,42.22222222222222,28.055555555555554,40.49382716049383,40.143369175627235
100438,Region I,Candon City,Ilokano/Iloko,27,38.02469135802469,39.835390946502066,27.22222222222222,43.53909465020576,38.75746714456392
100437,Region I,Candon City,Ilokano/Iloko,19,38.71345029239766,36.84210526315789,19.73684210526316,45.614035087719294,37.72495755517827
100426,Region I,Candon City,Ilokano/Iloko,13,33.333333333333336,36.92307692307693,21.923076923076927,40.51282051282051,34.98759305210918
102180,Region I,Dagupan City,Pangasinan/Pangasinense,24,94.35185185185186,89.62962962962963,77.08333333333333,75.27777777777777,85.21505376344086
102162,Region I,Dagupan City,Pangasinan/Pangasinense,33,78.58585858585859,76.16161616161617,67.72727272727272,79.19191919191918,76.65689149560117
500055,Region I,Dagupan City,Pangasinan/Pangasinense,86,85.34883720930232,79.17312661498707,61.104651162790695,69.25064599483204,75.75393848462116
152501,Region I,Dagupan City,Pangasinan/Pangasinense,26,77.77777777777777,78.37606837606837,58.65384615384615,65.81196581196582,72.00992555831264
102166,Region I,Dagupan City,Pangasinan/Pangasinense,50,76.8,75.2888888888889,51.8,67.24444444444444,70.36129032258064
102169,Region I,Dagupan City,Pangasinan/Pangasinense,35,68.44444444444444,74.98412698412699,61.857142857142854,61.84126984126985,67.57603686635946
102179,Region I,Dagupan City,Pangasinan/Pangasinense,76,66.9298245614035,68.24561403508771,60.39473684210526,65.7017543859649,66.11205432937182
102176,Region I,Dagupan City,Pangasinan/Pangasinense,32,67.29166666666667,57.291666666666664,63.28125,74.51388888888889,65.96774193548387
102172,Region I,Dagupan City,Pangasinan/Pangasinense,53,58.82599580712789,75.38784067085955,63.490566037735846,63.31236897274633,65.53864881314668
102175,Region I,Dagupan City,Pangasinan/Pangasinense,148,65.64564564564564,66.06606606606607,66.38513513513513,59.57957957957959,64.1020052310375
102154,Region I,Dagupan City,Pangasinan/Pangasinense,44,62.82828282828283,66.81818181818181,58.97727272727273,57.37373737373737,61.90615835777126
102168,Region I,Dagupan City,Pangasinan/Pangasinense,89,59.8501872659176,61.42322097378277,57.078651685393254,61.7478152309613,60.500181225081555
102161,Region I,Dagupan City,Pangasinan/Pangasinense,39,58.91737891737892,65.86894586894587,51.41025641025641,55.38461538461539,58.94127377998347
102155,Region I,Dagupan City,Pangasinan/Pangasinense,53,57.61006289308175,65.78616352201259,42.64150943396227,60.58700209643606,58.91661594643944
102163,Region I,Dagupan City,Pangasinan/Pangasinense,131,59.79643765903308,62.646310432569976,51.412213740458014,54.910941475826974,58.12361487318394
102150,Region I,Dagupan City,Pangasinan/Pangasinense,147,57.037037037037045,62.49433106575964,64.96598639455782,51.06575963718821,57.91090629800306
500053,Region I,Dagupan City,Pangasinan/Pangasinense,175,58.86984126984127,59.18730158730159,52.77142857142858,55.65714285714285,57.24239631336406
102167,Region I,Dagupan City,Pangasinan/Pangasinense,63,60.0,69.34744268077601,31.03174603174603,53.75661375661375,57.16333845366104
102151,Region I,Dagupan City,Pangasinan/Pangasinense,103,61.12189859762676,55.25350593311759,57.087378640776706,53.31175836030206,56.63012840588788
102160,Region I,Dagupan City,Pangasinan/Pangasinense,61,56.757741347905274,59.19854280510018,45.57377049180328,57.30418943533698,56.181914331041774
102170,Region I,Dagupan City,Pangasinan/Pangasinense,165,58.936026936026934,61.88552188552189,43.060606060606055,50.81481481481481,55.38611925708699
102158,Region I,Dagupan City,Pangasinan/Pangasinense,24,60.0925925925926,66.57407407407406,31.875,49.9074074074074,55.3763440860215
500054,Region I,Dagupan City,Pangasinan/Pangasinense,179,51.85599006828057,61.40285536933581,46.36871508379888,53.39540657976412,54.36655253198775
102152,Region I,Dagupan City,Pangasinan/Pangasinense,169,58.50098619329389,58.14595660749507,33.55029585798816,51.03221564760026,53.01011643443406
102149,Region I,Dagupan City,Pangasinan/Pangasinense,38,55.32163742690058,55.146198830409354,39.868421052631575,52.046783625731,52.32597623089983
102173,Region I,Dagupan City,Ilokano/Iloko,66,49.36026936026936,48.58585858585859,47.42424242424242,59.7979797979798,51.91593352883675
102159,Region I,Dagupan City,Pangasinan/Pangasinense,55,55.474747474747474,52.96969696969697,35.18181818181818,44.727272727272734,49.00879765395895
102177,Region I,Dagupan City,Pangasinan/Pangasinense,87,46.69220945083014,48.45466155810984,41.95402298850575,47.71392081736909,46.88913607712273
102156,Region I,Dagupan City,Pangasinan/Pangasinense,32,51.80555555555556,53.958333333333336,27.1875,43.19444444444444,46.75403225806452
102153,Region I,Dagupan City,Pangasinan/Pangasinense,76,47.45614035087719,48.567251461988306,29.210526315789473,47.57309941520467,45.45840407470289
102181,Region I,Dagupan City,Pangasinan/Pangasinense,17,47.189542483660134,48.36601307189542,32.647058823529406,43.006535947712415,44.44022770398482
102171,Region I,Dagupan City,Pangasinan/Pangasinense,138,46.666666666666664,48.27697262479871,29.057971014492757,43.268921095008054,43.875642823749416
102165,Region I,Dagupan City,Pangasinan/Pangasinense,155,43.25448028673835,48.41577060931899,30.483870967741932,44.96057347670251,43.60041623309053
102174,Region I,Dagupan City,Pangasinan/Pangasinense,34,40.65359477124183,46.07843137254902,25.73529411764706,40.196078431372555,40.1707779886148
100272,Region I,Ilocos Norte,Ilokano/Iloko,76,95.78947368421052,97.8654970760234,98.48684210526316,90.11695906432747,95.09337860780984
100042,Region I,Ilocos Norte,Ilokano/Iloko,25,96.97777777777776,92.71111111111112,99.4,92.26666666666668,94.68387096774194
100266,Region I,Ilocos Norte,Ilokano/Iloko,16,90.97222222222224,95.13888888888889,94.375,95.0,93.79032258064515
100111,Region I,Ilocos Norte,Ilokano/Iloko,7,88.88888888888889,97.14285714285714,95.0,93.015873015873,93.27188940092168
100270,Region I,Ilocos Norte,Ilokano/Iloko,4,92.77777777777776,95.55555555555556,83.75,94.44444444444444,92.90322580645162
100025,Region I,Ilocos Norte,Ilokano/Iloko,40,93.94444444444444,94.5,89.49999999999999,90.1111111111111,92.41935483870968
100038,Region I,Ilocos Norte,Ilokano/Iloko,7,93.015873015873,94.92063492063492,90.0,89.20634920634922,92.07373271889402
100007,Region I,Ilocos Norte,Ilokano/Iloko,25,91.46666666666668,93.5111111111111,90.8,91.55555555555556,92.0
100267,Region I,Ilocos Norte,Ilokano/Iloko,50,95.86666666666666,93.46666666666668,93.5,84.79999999999998,91.6516129032258
500592,Region I,Ilocos Norte,Ilokano/Iloko,22,89.79797979797979,93.83838383838383,97.95454545454544,88.3838383838384,91.61290322580643
100040,Region I,Ilocos Norte,Ilokano/Iloko,27,87.7366255144033,94.40329218106996,94.62962962962963,90.69958847736626,91.42174432497012
100273,Region I,Ilocos Norte,Ilokano/Iloko,35,91.11111111111111,89.20634920634922,99.71428571428572,89.96825396825398,91.33640552995392
100035,Region I,Ilocos Norte,Ilokano/Iloko,28,93.0952380952381,89.92063492063492,94.46428571428572,89.52380952380952,91.31336405529952
100026,Region I,Ilocos Norte,Ilokano/Iloko,74,90.990990990991,91.14114114114116,97.0945945945946,89.1891891891892,91.29904097646032
150009,Region I,Ilocos Norte,Ilokano/Iloko,12,98.88888888888889,91.11111111111111,81.25,87.96296296296296,91.18279569892474
100271,Region I,Ilocos Norte,Ilokano/Iloko,33,87.87878787878788,93.8047138047138,88.48484848484847,91.78451178451178,90.81133919843596
100127,Region I,Ilocos Norte,Ilokano/Iloko,27,90.78189300411525,92.34567901234568,93.33333333333334,88.14814814814814,90.80047789725208
100037,Region I,Ilocos Norte,Ilokano/Iloko,21,92.6984126984127,88.88888888888889,90.23809523809524,91.005291005291,90.78341013824884
100030,Region I,Ilocos Norte,Ilokano/Iloko,15,96.14814814814817,93.4814814814815,89.0,83.11111111111111,90.66666666666669
100263,Region I,Ilocos Norte,Ilokano/Iloko,28,93.17460317460318,95.55555555555556,82.67857142857142,86.03174603174604,90.43778801843315
100133,Region I,Ilocos Norte,Ilokano/Iloko,13,92.47863247863246,90.42735042735043,91.15384615384616,87.86324786324786,90.37220843672456
100134,Region I,Ilocos Norte,Ilokano/Iloko,22,93.73737373737372,88.98989898989899,93.4090909090909,86.56565656565657,90.23460410557186
100136,Region I,Ilocos Norte,Ilokano/Iloko,23,86.28019323671498,94.78260869565216,85.0,88.88888888888889,89.34081346423562
100024,Region I,Ilocos Norte,Ilokano/Iloko,28,89.92063492063492,88.96825396825396,86.78571428571429,89.36507936507937,89.0783410138249
100029,Region I,Ilocos Norte,Ilokano/Iloko,39,92.07977207977208,90.5982905982906,86.28205128205128,85.64102564102564,89.03225806451613
100008,Region I,Ilocos Norte,Ilokano/Iloko,23,90.24154589371982,91.30434782608695,88.91304347826087,84.73429951690821,88.7798036465638
100132,Region I,Ilocos Norte,Ilokano/Iloko,22,94.84848484848484,87.77777777777777,83.18181818181819,85.35353535353535,88.53372434017595
100036,Region I,Ilocos Norte,Ilokano/Iloko,42,89.47089947089947,92.8042328042328,81.19047619047618,85.55555555555556,88.23348694316435
500000,Region I,Ilocos Norte,Ilokano/Iloko,30,92.88888888888889,84.44444444444444,91.0,84.66666666666667,87.80645161290323
100268,Region I,Ilocos Norte,Ilokano/Iloko,47,85.67375886524823,87.37588652482269,92.23404255319149,88.13238770685578,87.72820864790665
100121,Region I,Ilocos Norte,Ilokano/Iloko,18,85.92592592592592,89.38271604938271,92.7777777777778,85.18518518518519,87.59856630824372
100122,Region I,Ilocos Norte,Ilokano/Iloko,26,86.41025641025641,87.52136752136752,86.53846153846153,89.23076923076923,87.5682382133995
100112,Region I,Ilocos Norte,Ilokano/Iloko,70,81.39682539682539,91.55555555555556,92.14285714285714,86.73015873015873,87.2811059907834
100014,Region I,Ilocos Norte,Ilokano/Iloko,24,87.96296296296296,91.01851851851852,77.91666666666667,85.27777777777777,86.7741935483871
100033,Region I,Ilocos Norte,Ilokano/Iloko,14,85.71428571428571,84.28571428571429,98.57142857142858,84.6031746031746,86.63594470046083
100135,Region I,Ilocos Norte,Ilokano/Iloko,15,87.55555555555556,89.33333333333334,83.66666666666667,84.14814814814814,86.5806451612903
100018,Region I,Ilocos Norte,Ilokano/Iloko,8,87.5,87.77777777777777,85.0,84.72222222222223,86.45161290322581
100125,Region I,Ilocos Norte,Ilokano/Iloko,75,84.35555555555555,85.24444444444444,92.26666666666668,86.90370370370371,86.3741935483871
100124,Region I,Ilocos Norte,Ilokano/Iloko,40,80.83333333333333,91.5,87.62499999999999,86.05555555555556,86.3225806451613
100041,Region I,Ilocos Norte,Ilokano/Iloko,14,82.53968253968254,84.92063492063492,88.21428571428571,89.36507936507937,85.9447004608295
100005,Region I,Ilocos Norte,Ilokano/Iloko,10,74.8888888888889,86.44444444444444,99.5,90.44444444444446,85.93548387096773
100265,Region I,Ilocos Norte,Tagalog,9,75.30864197530863,94.07407407407408,89.44444444444444,,85.55555555555556
100116,Region I,Ilocos Norte,Ilokano/Iloko,12,85.92592592592592,82.96296296296296,93.75,84.07407407407408,85.53763440860216
100114,Region I,Ilocos Norte,Ilokano/Iloko,31,85.3046594982079,83.08243727598567,90.16129032258064,85.73476702508961,85.41103017689906
100262,Region I,Ilocos Norte,Ilokano/Iloko,16,81.66666666666667,86.52777777777777,86.25,87.22222222222223,85.28225806451613
